,similarity
"movie(movie,person),sameperson(person,person)",0.0
"movie(movie,person),publication(title,person)",0.0
"movie(movie,person),inphase(person,prequals)",0.0
"movie(movie,person),tempadvisedby(person,person)",0.0
"movie(movie,person),sameproject(project,project)",0.0
"movie(movie,person),hasposition(person,faculty)",0.0
"movie(movie,person),courselevel(course,level)",0.0
"movie(movie,person),yearsinprogram(person,year)",0.0
"movie(movie,person),samecourse(course,course)",0.0
"movie(movie,person),projectmember(project,person)",0.0
